"Location","measure_name","time","measure_value::double"
Tokyo,0003DO_1,2022-11-11 19:51:06,26.1
Tokyo,0003DO_1,2022-11-11 19:59:34,26.1
Tokyo,0003DO_1,2022-11-11 20:13:35,26.1
Tokyo,0003DO_1,2022-11-11 20:23:19,26.1
Tokyo,0003DO_1,2022-11-11 20:47:23,26.1
Tokyo,0003DO_1,2022-11-11 21:04:35,26.1
Tokyo,0003DO_1,2022-11-11 21:18:25,26.1
Tokyo,0003DO_1,2022-11-11 21:21:48,26.1
Tokyo,0003DO_1,2022-11-11 21:40:06,26.1
Tokyo,0003DO_1,2022-11-11 21:50:23,26.1
Tokyo,0003DO_1,2022-11-11 22:02:41,26.1
Tokyo,0003DO_1,2022-11-11 22:12:34,26.1
Tokyo,0003DO_1,2022-11-11 22:29:46,26.1
Tokyo,0003DO_1,2022-11-11 22:48:52,32.1
Tokyo,0003DO_1,2022-11-11 22:52:20,32.1
Tokyo,0003DO_1,2022-11-11 23:00:07,32.1
Tokyo,0003DO_1,2022-11-11 23:10:07,32.1
Tokyo,0003DO_1,2022-11-11 23:20:07,32.1
Tokyo,0003DO_1,2022-11-11 23:30:07,32.1
Tokyo,0003DO_1,2022-11-11 23:40:07,32.1
Tokyo,0003DO_1,2022-11-11 23:48:08,8.48
Tokyo,0003DO_1,2022-11-12 00:00:07,9.47
Tokyo,0003DO_1,2022-11-12 00:10:24,9.12
Tokyo,0003DO_1,2022-11-12 00:23:43,8.77
Tokyo,0003DO_1,2022-11-12 00:26:17,8.74
Tokyo,0003DO_1,2022-11-12 04:00:07,8.80
Tokyo,0003DO_1,2022-11-12 04:10:07,8.79
Tokyo,0003DO_1,2022-11-12 04:20:07,8.80
Tokyo,0003DO_1,2022-11-12 04:30:07,8.79
Tokyo,0003DO_1,2022-11-12 04:40:07,8.77
Tokyo,0003DO_1,2022-11-12 04:50:07,8.76
Tokyo,0003DO_1,2022-11-12 05:00:07,8.74
Tokyo,0003DO_1,2022-11-12 05:10:07,8.73
Tokyo,0003DO_1,2022-11-12 05:20:07,8.72
Tokyo,0003DO_1,2022-11-12 05:30:07,8.71
Tokyo,0003DO_1,2022-11-12 05:40:07,8.70
Tokyo,0003DO_1,2022-11-12 05:50:07,8.69
Tokyo,0003DO_1,2022-11-12 06:00:07,8.67
Tokyo,0003DO_1,2022-11-12 06:10:07,8.66
Tokyo,0003DO_1,2022-11-12 06:20:07,8.64
Tokyo,0003DO_1,2022-11-12 06:30:07,8.63
Tokyo,0003DO_1,2022-11-12 06:40:07,8.61
Tokyo,0003DO_1,2022-11-12 06:50:07,8.60
Tokyo,0003DO_1,2022-11-12 07:00:07,8.59
Tokyo,0003DO_1,2022-11-12 07:10:07,8.58
Tokyo,0003DO_1,2022-11-12 07:20:07,8.57
Tokyo,0003DO_1,2022-11-12 11:10:12,8.52
Tokyo,0003DO_1,2022-11-12 11:20:07,8.47
Tokyo,0003DO_1,2022-11-12 11:30:07,8.45
Tokyo,0003DO_1,2022-11-12 11:40:07,8.43
Tokyo,0003DO_1,2022-11-12 11:50:07,8.58
Tokyo,0003DO_1,2022-11-12 12:00:07,8.53
Tokyo,0003DO_1,2022-11-12 12:10:07,8.53
Tokyo,0003DO_1,2022-11-12 12:26:52,8.54
Tokyo,0003DO_1,2022-11-12 12:42:36,8.54
Tokyo,0003DO_1,2022-11-12 12:47:35,8.53
Tokyo,0003DO_1,2022-11-12 12:58:19,8.54
Tokyo,0003DO_1,2022-11-12 13:10:07,8.70
Tokyo,0003DO_1,2022-11-12 13:20:07,8.64
Tokyo,0003DO_1,2022-11-12 13:30:07,8.60
Tokyo,0003DO_1,2022-11-12 13:40:07,8.58
