time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
01:32.9,5.0254,0.0132,0.0664,3.05,0.594,,,5.0254,0.0132,0.0664,2.994,0.023,,
01:32.0,5.0254,0.0132,0.0664,3.054,0.01,,,5.0254,0.0132,0.0665,3.058,0.022,,
01:33.1,5.0254,0.0132,0.0666,3.032,0.622,0.0121,27.5,5.0254,0.0132,0.0665,2.51,2.63,,
01:33.2,5.0254,0.0132,0.0665,3.043,0.011,,,5.0253,0.0132,0.0664,3.054,0.042,,
01:33.3,5.0254,0.0132,0.0664,2.872,0.006,,,5.0253,0.0132,0.0664,3.018,0.005,0.0143,27.3
01:33.4,5.0254,0.0132,0.0665,3.044,0.021,,,5.0251,0.0132,0.0665,3.038,0.008,,
01:33.5,5.0254,0.0132,0.0664,3.045,0.015,,,5.0254,0.0133,0.0666,3.015,0.005,,
01:33.6,5.0254,0.0132,0.0665,0.933,0.022,,,5.0254,0.0132,0.0666,3.042,0.004,,
01:33.7,5.0254,0.0132,0.0664,3.047,0.637,,,5.0254,0.0132,0.0665,3.028,0.005,,
01:33.8,5.0254,0.0132,0.0664,0.734,0.021,,,5.0254,0.0132,0.0665,3.025,1.769,,
01:33.9,5.0254,0.0132,0.0664,3.03,0.004,,,5.0254,0.0132,0.0664,2.951,0.005,,
01:33.0,5.0254,0.0132,0.0664,0.889,0.008,,,5.0254,0.0132,0.0664,3.057,0.026,,
01:34.1,5.0252,0.0132,0.0664,2.941,2.516,0.0124,27.7,5.0254,0.0132,0.0664,3.058,0.012,,
01:34.2,5.0251,0.0132,0.0664,3.041,0.004,,,5.0254,0.0132,0.0664,3.041,0.007,,
01:34.3,5.0254,0.0132,0.0665,3.048,0.024,,,5.0254,0.0132,0.0664,3.043,0.63,0.0143,28.1
01:34.4,5.0254,0.0132,0.0665,0.132,0.008,,,5.0254,0.0132,0.0665,3.027,0.003,,
01:34.5,5.0254,0.0132,0.0665,3.051,0.026,,,5.0253,0.0133,0.0666,3.062,0.014,,
01:34.6,5.0254,0.0132,0.0664,3.035,0.014,,,5.0253,0.0133,0.0666,3.01,2.802,,
01:34.7,5.0254,0.0132,0.0665,3.026,0.004,,,5.0254,0.0132,0.0666,2.586,2.491,,
01:34.8,5.0254,0.0132,0.0665,3.041,0.007,,,5.0254,0.0132,0.0665,3.206,0.927,,
01:34.9,5.0254,0.0132,0.0664,2.939,1.91,,,5.0254,0.0133,0.0666,3.042,0.014,,
01:34.0,5.0254,0.0132,0.0664,3.04,0.008,,,5.0254,0.0132,0.0665,3.075,0.011,,
01:35.1,5.0254,0.0132,0.0664,3.039,0.045,0.0126,27.9,5.0254,0.0132,0.0665,3.015,0.224,,
01:35.2,5.0254,0.0132,0.0664,3.027,0.013,,,5.0254,0.0132,0.0665,3.067,0.026,,
01:35.3,5.0253,0.0133,0.0666,3.019,0.021,,,5.0254,0.0132,0.0664,2.517,0.005,0.0143,27.6
01:35.4,5.0252,0.0133,0.0666,3.039,0.011,,,5.0254,0.0132,0.0666,3.061,0.021,,
01:35.5,5.0253,0.0132,0.0665,2.51,0.005,,,5.0254,0.0132,0.0664,1.405,0.006,,
01:35.6,5.0253,0.0132,0.0665,3.028,0.009,,,5.0254,0.0132,0.0664,2.468,0.115,,
01:35.7,5.0254,0.0132,0.0665,2.984,2.169,,,5.0254,0.0132,0.0665,3.041,1.738,,
01:35.8,5.0254,0.0132,0.0664,0.119,0.011,,,5.0254,0.0132,0.0664,3.039,0.13,,
01:35.9,5.0254,0.0132,0.0664,3.043,0.013,,,5.0254,0.0132,0.0665,3.064,0.02,,
01:35.0,5.0254,0.0132,0.0666,3.049,0.012,,,5.0254,0.0132,0.0664,3.032,0.01,,
01:36.1,5.0254,0.0132,0.0664,3.045,0.658,0.0128,27.9,5.0254,0.0132,0.0664,3.041,0.008,,
01:36.2,5.0254,0.0132,0.0666,3.053,0.008,,,5.0254,0.0132,0.0665,3.216,0.005,,
01:36.3,5.0253,0.0133,0.0667,3.047,0.005,,,5.0254,0.0132,0.0664,3.041,0.089,0.0143,28.5
01:36.4,5.0252,0.0132,0.0666,3.037,0.698,,,5.0254,0.0132,0.0664,0.779,0.005,,
01:36.5,5.0252,0.0132,0.0666,3.044,0.129,,,5.0254,0.0132,0.0664,3.054,0.005,,
01:36.6,5.0252,0.0132,0.0665,3.273,0.009,,,5.0254,0.0132,0.0664,3.041,0.005,,
01:36.7,5.0254,0.0132,0.0664,3.039,0.021,,,5.0254,0.0132,0.0664,3.054,0.022,,
01:36.8,5.0254,0.0132,0.0664,3.064,0.013,,,5.0254,0.0132,0.0664,3.043,0.268,,
01:36.9,5.0254,0.0132,0.0665,3.047,0.187,,,5.0254,0.0133,0.0666,2.453,0.005,,
01:36.0,5.0254,0.0132,0.0665,3.012,0.008,,,5.0254,0.0133,0.0667,3.055,0.005,,
01:37.1,5.0254,0.0132,0.0665,3.083,0.005,0.0131,27.8,5.0254,0.0132,0.0666,2.295,0.005,,
01:37.2,5.0254,0.0132,0.0664,3.016,0.007,,,5.0254,0.0133,0.0666,3.097,2.194,,
01:37.3,5.0254,0.0132,0.0664,3.017,0.007,,,5.0254,0.0133,0.0666,3.02,0.006,0.0144,27.6
01:37.4,5.0254,0.0132,0.0665,0.291,0.006,,,5.0254,0.0132,0.0665,3.055,0.008,,
01:37.5,5.0254,0.0132,0.0664,2.907,0.006,,,5.0254,0.0132,0.0665,3.066,0.016,,
01:37.6,5.0253,0.0132,0.0665,3.058,0.012,,,5.0254,0.0132,0.0665,3.038,0.525,,
01:37.7,5.0254,0.0132,0.0665,3.037,0.006,,,5.0254,0.0133,0.0666,2.516,0.005,,
01:37.8,5.0254,0.0132,0.0666,0.624,0.01,,,5.0254,0.0133,0.0667,3.055,0.005,,
01:37.9,5.0253,0.0132,0.0666,0.696,0.009,,,5.0254,0.0132,0.0665,2.581,0.005,,
01:37.0,5.0254,0.0132,0.0665,3.029,2.562,,,5.0254,0.0133,0.0666,3.106,0.721,,
01:38.1,5.0254,0.0132,0.0665,3.078,0.007,0.0132,27.5,5.0254,0.0133,0.0666,3.051,0.175,,
01:38.2,5.0254,0.0132,0.0665,2.977,0.007,,,5.0253,0.0132,0.0665,3.021,0.006,,
01:38.3,5.0254,0.0132,0.0664,0.656,0.013,,,5.0251,0.0132,0.0665,0.678,2.452,0.0144,27.5
01:38.4,5.0254,0.0132,0.0664,3.033,0.003,,,5.025,0.0132,0.0664,3.012,0.348,,
01:38.5,5.0254,0.0132,0.0664,3.023,0.025,,,5.0251,0.0132,0.0666,3.078,0.005,,
01:38.6,5.0254,0.0132,0.0665,3.047,0.006,,,5.0253,0.0132,0.0664,0.801,0.016,,
01:38.7,5.0254,0.0132,0.0665,2.956,1.095,,,5.0254,0.0132,0.0665,3.029,0.918,,
01:38.8,5.0254,0.0132,0.0664,3.019,0.01,,,5.0254,0.0132,0.0664,1.636,0.004,,
01:38.9,5.0253,0.0132,0.0664,3.023,0.124,,,5.0254,0.0132,0.0665,0.711,0.006,,
01:38.0,5.0252,0.0132,0.0665,3.043,0.03,,,5.0254,0.0132,0.0665,3.01,0.009,,
01:39.1,5.025,0.0132,0.0664,2.743,0.01,0.0132,27.6,5.0254,0.0132,0.0665,3.239,0.006,,
01:39.2,5.0252,0.0133,0.0666,3.051,0.004,,,5.0254,0.0132,0.0665,3.045,0.06,,
01:39.3,5.0252,0.0133,0.0666,3.047,1.313,,,5.0254,0.0132,0.0665,0.608,0.008,0.0144,27.7
01:39.4,5.0254,0.0132,0.0666,3.202,0.006,,,5.0255,0.0132,0.0665,3.071,0.016,,
01:39.5,5.0254,0.0132,0.0666,3.051,0.012,,,5.0254,0.0132,0.0665,2.995,0.004,,
01:39.6,5.0254,0.0132,0.0665,3.024,0.016,,,5.0253,0.0132,0.0664,2.818,1.23,,
01:39.7,5.0254,0.0132,0.0665,3.047,0.007,,,5.0254,0.0132,0.0665,3.038,0.03,,
01:39.8,5.0254,0.0132,0.0665,3.035,0.022,,,5.0254,0.0133,0.0666,3.032,0.004,,
01:39.9,5.0254,0.0132,0.0665,3.044,0.722,,,5.0254,0.0133,0.0666,1.97,0.089,,
01:39.0,5.0254,0.0132,0.0664,3.043,2.027,,,5.0254,0.0132,0.0666,3.028,0.411,,
01:40.1,5.0254,0.0132,0.0664,3.065,3.2,0.0132,28.1,5.0254,0.0132,0.0665,1.243,0.007,,
01:40.2,5.0254,0.0132,0.0664,3.197,0.007,,,5.0254,0.0133,0.0667,3.112,0.005,,
01:40.3,5.0254,0.0132,0.0664,3.032,0.011,,,5.0254,0.0133,0.0666,3.023,0.034,0.0144,28.1
01:40.4,5.0254,0.0132,0.0664,3.045,0.004,,,5.0254,0.0133,0.0666,2.857,1.889,,
01:40.5,5.0254,0.0132,0.0664,2.018,0.031,,,5.0254,0.0132,0.0665,0.474,0.025,,
01:40.6,5.0254,0.0132,0.0665,3.034,0.005,,,5.0254,0.0132,0.0664,3.17,2.652,,
01:40.7,5.0254,0.0132,0.0665,2.778,0.012,,,5.0254,0.0132,0.0665,0.22,0.012,,
01:40.8,5.0254,0.0132,0.0665,2.481,0.004,,,5.0254,0.0132,0.0664,3.047,0.008,,
01:40.9,5.0254,0.0132,0.0664,3.044,0.014,,,5.0254,0.0132,0.0664,3.045,0.013,,
01:40.0,5.0253,0.0132,0.0664,3.039,0.612,,,5.0254,0.0132,0.0664,2.511,0.006,,
01:41.1,5.0254,0.0132,0.0666,3.013,0.124,0.0132,27.4,5.0254,0.0132,0.0664,3.043,0.024,,
01:41.2,5.0254,0.0132,0.0666,3.039,0.005,,,5.0254,0.0132,0.0664,2.391,0.007,,
01:41.3,5.0254,0.0133,0.0666,3.201,0.004,,,5.0254,0.0132,0.0665,0.151,0.031,0.0144,27.8
01:41.4,5.0253,0.0132,0.0664,3.044,0.01,,,5.0254,0.0132,0.0665,3.062,0.006,,
01:41.5,5.0254,0.0132,0.0664,3.034,0.006,,,5.0254,0.0132,0.0664,2.52,0.009,,
01:41.6,5.0252,0.0132,0.0664,3.055,0.008,,,5.0254,0.0132,0.0664,3.059,0.072,,
01:41.7,5.0251,0.0132,0.0665,3.059,0.123,,,5.0254,0.0132,0.0665,1.186,0.041,,
01:41.8,5.0252,0.0132,0.0664,3.067,0.009,,,5.0254,0.0132,0.0664,0.704,0.017,,
01:41.9,5.0254,0.0132,0.0666,3.073,0.02,,,5.0254,0.0132,0.0664,3.204,0.023,,
01:41.0,5.0254,0.0132,0.0666,2.467,0.009,,,5.0254,0.0132,0.0665,3.002,0.013,,
01:42.1,5.0254,0.0132,0.0666,3.073,0.004,0.0132,28.2,5.0254,0.0132,0.0664,3.044,0.036,,
01:42.2,5.0252,0.0132,0.0665,3.042,0.003,,,5.0254,0.0132,0.0665,3.058,0.006,,
01:42.3,5.0252,0.0132,0.0664,3.001,0.011,,,5.0254,0.0132,0.0664,3.069,0.015,0.0144,27.4
01:42.4,5.0252,0.0132,0.0665,3.119,0.242,,,5.0254,0.0132,0.0664,3.065,0.684,,
01:42.5,5.0253,0.0133,0.0666,3.038,0.021,,,5.0254,0.0132,0.0664,3.035,0.004,,
01:42.6,5.0254,0.0133,0.0667,3.039,3.276,,,5.0254,0.0132,0.0664,0.688,0.033,,
01:42.7,5.0254,0.0133,0.0667,2.979,0.041,,,5.0254,0.0132,0.0665,3.068,0.008,,
01:42.8,5.0254,0.0132,0.0666,3.038,0.005,,,5.0254,0.0132,0.0664,3.028,0.006,,
01:42.9,5.0254,0.0132,0.0665,3.055,0.005,,,5.0254,0.0132,0.0665,3.043,0.008,,
01:42.0,5.0254,0.0132,0.0664,2.997,0.008,,,5.0254,0.0132,0.0664,3.056,0.013,,
01:43.1,5.0254,0.0132,0.0665,3.225,0.009,0.0132,27.6,5.0254,0.0132,0.0665,3.042,0.006,,
01:43.2,5.0254,0.0132,0.0665,2.517,0.014,,,5.0253,0.0132,0.0664,3.05,2.562,,
01:43.3,5.0254,0.0132,0.0664,3.051,2.062,,,5.0254,0.0132,0.0665,3.23,0.032,0.0145,27.2
01:43.4,5.0254,0.0133,0.0666,3.048,0.007,,,5.0252,0.0132,0.0664,2.442,0.035,,
01:43.5,5.0254,0.0133,0.0666,3.056,0.019,,,5.0254,0.0132,0.0664,3.228,0.02,,
01:43.6,5.0254,0.0132,0.0665,3.028,0.007,,,5.0254,0.0132,0.0665,3.033,0.009,,
01:43.7,5.0254,0.0132,0.0664,3.062,0.007,,,5.0254,0.0132,0.0665,3.015,0.004,,
01:43.8,5.0254,0.0132,0.0665,3.037,0.023,,,5.0254,0.0132,0.0665,3.046,0.012,,
01:43.9,5.0254,0.0132,0.0665,3.096,0.009,,,5.0254,0.0132,0.0664,3.052,0.012,,
01:43.0,5.0254,0.0132,0.0664,1.133,0.013,,,5.0254,0.0132,0.0665,3.051,0.006,,
01:44.1,5.0253,0.0132,0.0664,3.034,2.617,0.0133,27.9,5.0253,0.0132,0.0664,2.438,2.926,,
01:44.2,5.0252,0.0132,0.0664,3.04,0.005,,,5.0254,0.0132,0.0664,1.532,0.035,,
01:44.3,5.0253,0.0132,0.0664,0.609,2.655,,,5.0254,0.0132,0.0664,3.033,0.006,0.0145,28
01:44.4,5.0254,0.0132,0.0664,0.732,0.619,,,5.0254,0.0132,0.0664,3.027,0.006,,
01:44.5,5.0254,0.0132,0.0664,2.578,0.011,,,5.0253,0.0132,0.0664,2.973,0.004,,
01:44.6,5.0254,0.0132,0.0664,3.028,0.007,,,5.0254,0.0132,0.0665,3.042,0.012,,
01:44.7,5.0254,0.0132,0.0665,3.014,0.012,,,5.0254,0.0132,0.0664,3.047,0.011,,
01:44.8,5.0254,0.0132,0.0664,3.03,2.223,,,5.0254,0.0132,0.0664,3.038,0.597,,
01:44.9,5.0254,0.0132,0.0664,3.045,0.019,,,5.0254,0.0132,0.0666,2.443,0.658,,
01:44.0,5.0254,0.0132,0.0664,3.027,0.006,,,5.0254,0.0132,0.0666,0.762,0.022,,
01:45.1,5.0254,0.0132,0.0665,3.039,0.579,0.0133,27.9,5.0254,0.0133,0.0666,3.057,0.02,,
01:45.2,5.0254,0.0132,0.0664,3.086,0.007,,,5.0254,0.0133,0.0666,3.047,0.014,,
01:45.3,5.0254,0.0132,0.0665,3.053,0.01,,,5.0254,0.0132,0.0666,3.022,0.008,0.0145,27.9
01:45.4,5.025,0.0132,0.0665,3.043,0.007,,,5.0254,0.0133,0.0666,3.063,0.007,,
01:45.5,5.0252,0.0132,0.0664,0.696,0.003,,,5.0254,0.0132,0.0666,3.035,0.011,,
01:45.6,5.0254,0.0132,0.0665,2.454,0.012,,,5.0254,0.0133,0.0666,3.042,0.025,,
01:45.7,5.0254,0.0132,0.0664,3.086,0.022,,,5.0254,0.0133,0.0667,3.047,0.035,,
01:45.8,5.0254,0.0132,0.0664,3.024,0.007,,,5.0254,0.0132,0.0666,3.047,0.66,,
01:45.9,5.0254,0.0133,0.0666,3.052,0.009,,,5.0254,0.0132,0.0664,2.443,0.287,,
01:45.0,5.0254,0.0132,0.0665,3.038,0.613,,,5.0254,0.0132,0.0665,2.328,2.348,,
01:46.1,5.0254,0.0132,0.0664,3.059,0.008,0.0133,27.8,5.0253,0.0132,0.0665,3.009,0.008,,
01:46.2,5.0254,0.0132,0.0664,3.062,0.027,,,5.0254,0.0132,0.0664,0.153,2.153,,
01:46.3,5.0254,0.0132,0.0664,3.035,0.009,,,5.0254,0.0132,0.0664,3.045,0.005,0.0145,28.3
01:46.4,5.0254,0.0132,0.0665,3.036,0.013,,,5.0254,0.0132,0.0664,3.038,0.016,,
01:46.5,5.0254,0.0132,0.0664,3.049,0.031,,,5.0254,0.0132,0.0664,3.04,0.018,,
01:46.6,5.0254,0.0132,0.0664,3.036,0.008,,,5.0254,0.0132,0.0666,3.083,0.045,,
01:46.7,5.0254,0.0132,0.0664,3.003,0.005,,,5.0254,0.0132,0.0665,2.436,0.415,,
01:46.8,5.0254,0.0132,0.0665,3.048,0.025,,,5.0254,0.0132,0.0664,3.025,0.018,,
01:46.9,5.0254,0.0132,0.0664,3.082,0.007,,,5.0254,0.0132,0.0665,3.076,0.008,,
01:46.0,5.0254,0.0132,0.0665,3.042,0.008,,,5.0254,0.0132,0.0665,3.017,0.009,,
01:47.1,5.0254,0.0132,0.0665,2.545,0.007,0.0133,27.5,5.0254,0.0132,0.0665,2.596,0.006,,
01:47.2,5.0254,0.0132,0.0665,3.034,0.006,,,5.0254,0.0133,0.0666,3.045,0.012,,
01:47.3,5.0254,0.0132,0.0664,3.043,0.011,,,5.0254,0.0133,0.0666,3.063,0.024,0.0145,27.9
01:47.4,5.0254,0.0132,0.0664,3.046,0.013,,,5.0254,0.0133,0.0666,0.615,0.012,,
01:47.5,5.0254,0.0132,0.0664,3.045,0.015,,,5.0253,0.0133,0.0668,3.28,0.011,,
01:47.6,5.0254,0.0132,0.0665,3.042,0.009,,,5.0254,0.0133,0.0667,3.047,0.021,,
01:47.7,5.0254,0.0133,0.0666,3.053,0.074,,,5.0254,0.0133,0.0667,3.018,0.117,,
01:47.8,5.0254,0.0133,0.0667,3.04,3.041,,,5.0254,0.0133,0.0667,3.001,0.015,,
01:47.9,5.0254,0.0133,0.0667,3.036,0.009,,,5.0253,0.0133,0.0666,2.583,0.006,,
01:47.0,5.0254,0.0133,0.0667,0.286,0.007,,,5.0253,0.0133,0.0667,3.046,2.651,,
01:48.1,5.0254,0.0133,0.0668,3.03,0.01,0.0133,27.9,5.0254,0.0133,0.0668,3.037,0.019,,
01:48.2,5.0254,0.0133,0.0668,3.046,0.022,,,5.0252,0.0133,0.0669,3.065,0.132,,
01:48.3,5.0253,0.0133,0.0667,0.616,0.267,,,5.0248,0.0133,0.0669,1.918,0.013,0.0146,27.3
01:48.4,5.0253,0.0133,0.0666,3.03,0.007,,,5.0246,0.0133,0.0669,3.056,0.016,,
01:48.5,5.0254,0.0132,0.0666,3.037,0.005,,,5.0248,0.0133,0.0669,3.018,0.052,,
01:48.6,5.0254,0.0133,0.0666,2.501,0.007,,,5.0251,0.0133,0.0668,3.024,0.008,,
01:48.7,5.0254,0.0133,0.0667,3.016,0.007,,,5.0252,0.0133,0.0669,2.967,0.008,,
01:48.8,5.0254,0.0133,0.0668,3.041,0.011,,,5.0251,0.0133,0.0669,3.04,0.009,,
01:48.9,5.0254,0.0132,0.0666,3.041,0.023,,,5.0252,0.0133,0.0669,3.034,0.016,,
01:48.0,5.0254,0.0132,0.0665,3.049,0.01,,,5.0254,0.0133,0.0667,3.26,0.505,,
01:49.1,5.0254,0.0132,0.0665,1.355,2.503,0.0134,28.3,5.0254,0.0133,0.0667,1.114,0.014,,
01:49.2,5.0254,0.0132,0.0665,3.036,0.016,,,5.0254,0.0133,0.0667,3.212,1.943,,
01:49.3,5.0254,0.0132,0.0665,3.038,0.005,,,5.0254,0.0132,0.0665,3.011,0.121,0.0146,27.8
01:49.4,5.0254,0.0132,0.0665,2.247,0.012,,,5.0254,0.0132,0.0665,3.023,0.004,,
01:49.5,5.0254,0.0132,0.0664,0.685,0.011,,,5.0254,0.0132,0.0664,3.078,0.004,,
01:49.6,5.0254,0.0132,0.0665,3.022,0.014,,,5.0254,0.0132,0.0666,3.034,0.004,,
01:49.7,5.0254,0.0132,0.0665,3.041,0.012,,,5.0253,0.0132,0.0664,3.048,0.004,,
01:49.8,5.0254,0.0132,0.0665,3.289,0.009,,,5.0254,0.0132,0.0665,3.057,0.005,,
01:49.9,5.0254,0.0132,0.0665,3.048,0.051,,,5.0254,0.0132,0.0665,3.039,2.654,,
01:49.0,5.0254,0.0132,0.0664,3.044,0.013,,,5.0254,0.0132,0.0665,3.047,0.019,,
01:50.1,5.0254,0.0132,0.0666,3.26,0.004,0.0134,28,5.0254,0.0132,0.0665,3.057,0.038,,
01:50.2,5.0253,0.0133,0.0666,3.09,0.057,,,5.0254,0.0132,0.0664,2.49,0.665,,
01:50.3,5.0252,0.0133,0.0667,3.071,0.028,,,5.0254,0.0132,0.0665,3.014,2.529,0.0146,28.2
01:50.4,5.0253,0.0133,0.0666,3.074,0.009,,,5.0254,0.0133,0.0666,3.043,0.013,,
01:50.5,5.0254,0.0133,0.0666,3.045,0.008,,,5.0254,0.0133,0.0667,3.044,0.018,,
01:50.6,5.0254,0.0132,0.0666,3.045,0.064,,,5.0254,0.0132,0.0666,3.1,0.005,,
01:50.7,5.0254,0.0132,0.0666,3.043,0.01,,,5.0254,0.0132,0.0665,3.043,0.012,,
01:50.8,5.0254,0.0132,0.0665,3.049,0.015,,,5.0254,0.0132,0.0664,3.048,0.011,,
01:50.9,5.0254,0.0132,0.0664,3.065,0.132,,,5.0254,0.0132,0.0664,3.078,0.035,,
01:50.0,5.0254,0.0132,0.0665,3.093,0.026,,,5.0253,0.0132,0.0665,2.992,0.004,,
01:51.1,5.0254,0.0132,0.0665,0.695,0.006,0.0134,27.9,5.0254,0.0132,0.0664,2.985,0.006,,
01:51.2,5.0254,0.0133,0.0666,3.205,0.006,,,5.0254,0.0132,0.0664,3.035,0.004,,
01:51.3,5.0254,0.0133,0.0667,2.497,2.616,,,5.0254,0.0132,0.0664,3.062,0.005,0.0146,28.1
01:51.4,5.0254,0.0133,0.0666,2.986,0.005,,,5.0254,0.0132,0.0665,3.061,0.029,,
01:51.5,5.0254,0.0132,0.0665,3.048,0.032,,,5.0254,0.0132,0.0665,3.045,0.01,,
01:51.6,5.0254,0.0132,0.0664,0.606,2.582,,,5.0254,0.0132,0.0664,2.691,1.39,,
01:51.7,5.0254,0.0132,0.0664,3.173,2.713,,,5.0254,0.0132,0.0664,3.073,0.01,,
01:51.8,5.0254,0.0132,0.0664,3.009,0.444,,,5.0254,0.0132,0.0664,3.025,0.005,,
01:51.9,5.0254,0.0132,0.0665,2.558,0.003,,,5.0254,0.0132,0.0665,3.046,0.006,,
01:51.0,5.0254,0.0132,0.0665,3.099,0.003,,,5.0254,0.0132,0.0664,3.042,0.011,,
01:52.1,5.0254,0.0133,0.0666,1.668,0.007,0.0134,28,5.0254,0.0132,0.0665,3.055,0.009,,
01:52.2,5.0254,0.0132,0.0664,3.077,0.005,,,5.0254,0.0132,0.0665,3.057,0.031,,
01:52.3,5.0254,0.0132,0.0665,3.021,0.005,,,5.0254,0.0132,0.0665,3.04,0.008,0.0146,27.7
01:52.4,5.0254,0.0132,0.0665,3.018,0.013,,,5.0254,0.0132,0.0664,2.458,0.01,,
01:52.5,5.0254,0.0132,0.0665,0.132,0.007,,,5.0254,0.0132,0.0665,1.098,0.034,,
01:52.6,5.0254,0.0132,0.0664,3.059,0.011,,,5.0254,0.0132,0.0665,3.02,0.005,,
01:52.7,5.0254,0.0132,0.0665,3.026,0.004,,,5.0254,0.0132,0.0665,3.007,3.237,,
01:52.8,5.0254,0.0132,0.0665,3.063,0.018,,,5.0254,0.0132,0.0664,3.042,0.005,,
01:52.9,5.0254,0.0132,0.0665,3.042,0.013,,,5.0254,0.0132,0.0665,3.035,0.014,,
01:52.0,5.0254,0.0132,0.0664,2.968,0.005,,,5.0254,0.0132,0.0664,3.059,0.043,,
01:53.1,5.0254,0.0132,0.0665,3.063,0.057,0.0134,27.9,5.0254,0.0132,0.0665,3.051,0.018,,
01:53.2,5.0254,0.0132,0.0664,3.221,0.342,,,5.0251,0.0132,0.0664,3.034,0.008,,
01:53.3,5.0253,0.0132,0.0664,0.021,2.768,,,5.0251,0.0132,0.0664,3.052,0.006,0.0147,27.6
01:53.4,5.0254,0.0132,0.0664,3.037,0.009,,,5.025,0.0132,0.0665,3.011,0.005,,
01:53.5,5.0254,0.0132,0.0665,3.038,0.004,,,5.0251,0.0133,0.0666,0.102,0.009,,
01:53.6,5.0253,0.0132,0.0665,2.996,0.016,,,5.0252,0.0132,0.0664,3.037,0.005,,
01:53.7,5.0254,0.0132,0.0666,3.053,0.004,,,5.0253,0.0132,0.0664,3.04,0.008,,
01:53.8,5.0254,0.0133,0.0666,3.019,0.009,,,5.0254,0.0132,0.0665,0.641,0.67,,
01:53.9,5.0254,0.0133,0.0667,3.061,0.017,,,5.0254,0.0132,0.0665,3.015,0.004,,
01:53.0,5.0253,0.0133,0.0667,3.058,0.013,,,5.0254,0.0132,0.0664,3.039,0.004,,
01:54.1,5.0253,0.0133,0.0666,3.037,0.011,0.0135,27.6,5.0253,0.0132,0.0665,3.048,0.01,,
01:54.2,5.0252,0.0133,0.0667,3.027,0.004,,,5.0253,0.0132,0.0665,0.695,0.028,,
01:54.3,5.0252,0.0133,0.0666,3.048,0.015,,,5.0254,0.0132,0.0665,3.039,0.008,0.0147,28.2
01:54.4,5.0253,0.0132,0.0665,1.583,0.007,,,5.0253,0.0132,0.0665,3.057,0.004,,
01:54.5,5.0253,0.0132,0.0665,3.046,0.01,,,5.0253,0.0132,0.0664,3.028,0.01,,
01:54.6,5.0254,0.0132,0.0665,3.049,0.007,,,5.0254,0.0132,0.0665,3.038,0.023,,
01:54.7,5.0254,0.0132,0.0664,3.038,0.004,,,5.0254,0.0132,0.0664,3.282,0.008,,
01:54.8,5.0254,0.0132,0.0665,0.689,0.003,,,5.0254,0.0132,0.0664,2.621,0.437,,
01:54.9,5.0254,0.0132,0.0664,3.037,0.131,,,5.0254,0.0132,0.0664,3.022,0.012,,
01:54.0,5.0253,0.0132,0.0665,3.031,0.005,,,5.0254,0.0132,0.0664,3.048,0.004,,
01:55.1,5.0254,0.0132,0.0664,3.053,2.233,0.0135,27.8,5.0254,0.0132,0.0664,3.045,0.013,,
01:55.2,5.0253,0.0132,0.0665,0.58,0.006,,,5.0254,0.0132,0.0666,3.037,0.007,,
01:55.3,5.0254,0.0132,0.0665,3.05,0.003,,,5.0254,0.0132,0.0666,3.044,0.244,0.0147,28.6
01:55.4,5.0251,0.0132,0.0664,3.045,0.094,,,5.0254,0.0132,0.0664,3.049,2.462,,
01:55.5,5.0254,0.0132,0.0664,3.045,3.287,,,5.0254,0.0132,0.0664,0.03,0.008,,
01:55.6,5.0254,0.0132,0.0664,3.038,0.004,,,5.0254,0.0132,0.0665,3.057,0.008,,
01:55.7,5.0254,0.0132,0.0665,3.047,0.025,,,5.0254,0.0132,0.0664,2.44,0.141,,
01:55.8,5.0254,0.0132,0.0664,2.765,0.004,,,5.0254,0.0132,0.0665,3.03,0.006,,
01:55.9,5.0254,0.0132,0.0665,1.19,0.018,,,5.0254,0.0132,0.0666,3.039,0.005,,
01:55.0,5.0254,0.0132,0.0664,2.463,0.006,,,5.0254,0.0132,0.0665,3.047,1.913,,
01:56.1,5.0254,0.0132,0.0664,3.142,0.004,0.0135,26.9,5.0254,0.0132,0.0665,2.494,0.009,,
01:56.2,5.0254,0.0132,0.0665,3.04,2.067,,,5.0254,0.0132,0.0665,3.025,0.009,,
01:56.3,5.0254,0.0132,0.0664,3.037,0.115,,,5.0254,0.0132,0.0664,3.038,2.634,0.0147,27.8
01:56.4,5.0254,0.0132,0.0664,2.667,0.013,,,5.0254,0.0132,0.0665,3.053,0.016,,
01:56.5,5.0254,0.0132,0.0665,3.045,0.022,,,5.0254,0.0132,0.0665,2.442,0.639,,
01:56.6,5.0254,0.0132,0.0665,3.16,0.188,,,5.0254,0.0132,0.0664,3.031,0.005,,
01:56.7,5.0254,0.0132,0.0664,3.025,0.006,,,5.0254,0.0132,0.0666,0.691,0.003,,
01:56.8,5.0254,0.0133,0.0666,2.675,0.006,,,5.0254,0.0132,0.0665,0.725,0.282,,
01:56.9,5.0254,0.0132,0.0664,3.044,2.662,,,5.0254,0.0133,0.0667,2.471,0.008,,
01:56.0,5.0254,0.0132,0.0664,3.047,0.394,,,5.0254,0.0133,0.0666,3.031,0.011,,
01:57.1,5.0254,0.0132,0.0664,2.47,0.006,0.0135,27.7,5.0254,0.0132,0.0665,3.041,0.005,,
