time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:05.5,4.9992,0.1634,0.8169,0.884,0.001,,,5.004,0.1442,0.7215,1.305,0.338,,
00:05.6,4.9991,0.1635,0.8173,2.673,0.002,,,5.0041,0.1427,0.7143,2.554,0.013,,
00:05.7,4.9992,0.1636,0.8177,3.061,0.048,,,5.0041,0.1439,0.7199,3.063,0.002,,
00:05.8,4.9995,0.1486,0.7429,0.682,0.025,,,5.0041,0.1426,0.7135,3.052,0.003,,
00:05.9,4.9993,0.1762,0.8807,2.477,0.008,,,5.0041,0.1417,0.7091,3.05,0.041,,
00:05.0,4.9989,0.1768,0.884,3.065,0.044,,,5.0041,0.1412,0.7065,3.051,0.137,,
00:06.1,4.9978,0.1784,0.8914,3.041,0.004,0.0015,27.6,5.0042,0.1408,0.7047,3.049,0.007,,
00:06.2,4.9978,0.1786,0.8927,3.059,0.001,,,5.0041,0.1406,0.7034,3.049,0.004,0.0077,28.4
00:06.3,4.9976,0.1792,0.8954,1.479,0.009,,,5.004,0.1438,0.7198,3.032,0.009,,
00:06.4,4.9975,0.1793,0.8959,3.045,0.003,,,5.0042,0.141,0.7054,3.044,0.007,,
00:06.5,4.9975,0.1408,0.7038,3.054,0.026,,,5.0041,0.1393,0.697,3.033,0.003,,
00:06.6,4.9988,0.1401,0.7004,3.063,0.005,,,5.0041,0.1395,0.6981,2.697,0.002,,
00:06.7,5.0009,0.1429,0.7145,2.585,0.006,,,5.0041,0.1384,0.6923,3.039,0.004,,
00:06.8,5.0014,0.1433,0.7168,3.06,0.059,,,5.0041,0.1375,0.6882,3.053,0.014,,
00:06.9,5.0017,0.1442,0.7213,3.049,0.005,,,5.0042,0.1371,0.686,3.058,0.087,,
00:06.0,5.0018,0.1444,0.7225,3.052,0.003,,,5.0041,0.1368,0.6845,3.048,0.004,,
00:07.1,5.0022,0.1447,0.7237,3.069,0.012,0.0017,27.7,5.0042,0.1367,0.684,3.049,0.023,,
00:07.2,5.0023,0.1448,0.7242,3.039,0.004,,,5.004,0.1404,0.7028,3.067,0.006,0.0079,28.4
00:07.3,5.0027,0.1451,0.7261,3.058,0.016,,,5.0038,0.1423,0.7122,3.033,0.004,,
00:07.4,5.0023,0.1731,0.8659,3.038,0.002,,,5.0035,0.1434,0.7177,2.496,0.003,,
00:07.5,4.9994,0.1767,0.8832,1.189,0.009,,,5.0032,0.144,0.7205,3.043,2.558,,
00:07.6,4.9989,0.1774,0.887,3.063,0.003,,,5.0031,0.1444,0.7224,3.053,0.064,,
00:07.7,4.9979,0.1786,0.8925,3.082,0.005,,,5.0029,0.1447,0.724,2.642,0.007,,
00:07.8,4.9977,0.1788,0.8936,3.057,0.004,,,5.0029,0.145,0.7254,2.598,0.005,,
00:07.9,4.9978,0.1793,0.8959,0.72,0.008,,,5.0029,0.145,0.7255,3.052,0.017,,
00:07.0,4.9976,0.1793,0.8962,3.061,0.002,,,5.0026,0.145,0.7251,3.036,0.007,,
00:08.1,4.9973,0.1795,0.8968,3.048,0.027,0.0019,27.2,5.0027,0.1449,0.7247,3.08,0.003,,
00:08.2,4.9972,0.1795,0.897,3.06,0.009,,,5.0029,0.1449,0.7247,3.052,0.003,0.0081,28.4
00:08.3,5.0003,0.1421,0.7105,0.426,0.002,,,5.0029,0.1449,0.7247,3.055,0.072,,
00:08.4,5.0008,0.1429,0.7145,3.043,3.154,,,5.0029,0.1448,0.7247,3.056,0.024,,
00:08.5,5.0018,0.144,0.7201,3.043,0.001,,,5.0029,0.1449,0.7249,3.033,0.567,,
00:08.6,5.002,0.1443,0.7218,3.051,2.665,,,5.0029,0.1449,0.7249,1.261,0.004,,
00:08.7,5.0022,0.1447,0.7237,2.975,0.021,,,5.0029,0.1449,0.7248,3.051,2.415,,
00:08.8,5.0023,0.1447,0.7238,3.05,0.021,,,5.0029,0.1449,0.7247,0.626,3.253,,
00:08.9,5.0027,0.1449,0.725,3.04,0.001,,,5.0029,0.1448,0.7246,3.052,0.268,,
00:08.0,5.0028,0.145,0.7252,3.038,0.008,,,5.0029,0.1448,0.7247,3.056,0.004,,
00:09.1,5.0029,0.1449,0.725,3.1,0.008,0.0021,28,5.0029,0.1449,0.725,3.027,0.005,,
00:09.2,5.0029,0.145,0.7252,0.622,2.592,,,5.0029,0.1449,0.7249,3.046,0.018,0.0083,28.3
00:09.3,5.0029,0.145,0.7254,3.085,0.448,,,5.0029,0.1449,0.7248,3.058,0.083,,
00:09.4,5.0029,0.145,0.7255,3.151,0.028,,,5.0029,0.1448,0.7247,3.268,0.003,,
00:09.5,5.0027,0.1451,0.726,0.744,0.014,,,5.0029,0.1449,0.7247,3.051,1.953,,
00:09.6,5.0028,0.1452,0.7262,3.031,0.002,,,5.0029,0.1449,0.7247,3.05,0.667,,
00:09.7,5.0028,0.145,0.7256,3.054,0.014,,,5.0024,0.1449,0.7248,2.774,0.575,,
00:09.8,5.0028,0.1451,0.7257,3.043,3.286,,,5.0027,0.1449,0.7249,2.939,0.005,,
00:09.9,5.0029,0.145,0.7256,3.013,0.111,,,5.0028,0.1449,0.7248,3.042,0.003,,
00:09.0,5.0029,0.145,0.7254,3.058,0.721,,,5.0029,0.1446,0.7235,3.054,0.003,,
00:10.1,5.0028,0.1451,0.7257,3.05,0.004,0.0024,26.8,5.0029,0.1445,0.7227,3.049,0.664,,
00:10.2,5.0029,0.145,0.7255,3.068,0.004,,,5.0029,0.1444,0.7223,2.968,0.003,,
00:10.3,5.0028,0.145,0.7254,3.058,0.131,,,5.0029,0.1443,0.722,3.047,0.013,0.0085,28.1
00:10.4,5.0029,0.145,0.7252,0.683,0.011,,,5.0029,0.1443,0.7217,3.055,0.005,,
00:10.5,5.0029,0.145,0.7252,3.117,0.263,,,5.0029,0.1441,0.7211,1.708,0.006,,
00:10.6,5.0022,0.1732,0.8666,3.068,0.018,,,5.0029,0.1441,0.7209,2.455,0.015,,
00:10.7,5.0001,0.1759,0.8793,3.192,0.001,,,5.0029,0.1441,0.7208,3.04,0.003,,
00:10.8,4.9988,0.1773,0.8864,0.829,0.604,,,5.0029,0.1441,0.7209,3.053,0.008,,
00:10.9,4.9978,0.1782,0.8908,2.961,0.011,,,5.0015,0.1737,0.8686,2.937,0.006,,
00:10.0,4.9976,0.1788,0.8936,3.046,0.001,,,4.9998,0.1759,0.8797,0.627,2.586,,
00:11.1,4.9976,0.1791,0.8952,3.156,0.021,0.0025,27.1,4.9989,0.1773,0.8864,3.049,0.006,,
00:11.2,4.9992,0.1434,0.717,3.063,0.535,,,4.9984,0.1781,0.8904,3.062,0.002,,
00:11.3,5.0005,0.1441,0.7207,3.073,0.525,,,4.9979,0.1786,0.8926,3.058,3.294,0.0087,27.7
00:11.4,5.0013,0.1445,0.7226,3.057,0.003,,,4.9979,0.1789,0.894,2.636,0.023,,
00:11.5,5.0017,0.1447,0.7238,2.901,0.005,,,4.9998,0.1439,0.7196,3.052,0.006,,
00:11.6,5.0019,0.1449,0.7247,2.462,2.028,,,4.9998,0.161,0.8047,3.055,0.005,,
00:11.7,5.0023,0.1449,0.7249,3.055,0.002,,,4.9998,0.1614,0.8068,3.048,0.001,,
00:11.8,5.0026,0.1449,0.725,3.043,0.002,,,4.9998,0.1625,0.8124,2.55,0.01,,
00:11.9,5.0028,0.1449,0.7249,0.712,0.066,,,4.9999,0.1627,0.8134,3.069,0.018,,
00:11.0,5.003,0.1449,0.7248,3.051,0.661,,,5.0001,0.163,0.8152,3.065,0.004,,
00:12.1,5.0029,0.1449,0.725,3.064,0.31,0.0027,27.2,5.0001,0.1631,0.8154,3.053,0.004,,
00:12.2,5.0029,0.1449,0.7251,3.044,0.002,,,5.0002,0.1633,0.8164,3.074,0.218,,
00:12.3,5.0029,0.1449,0.7251,3.049,2.219,,,5.0002,0.1632,0.8161,3.056,0.005,0.0089,27.9
00:12.4,5.0029,0.145,0.7253,3.051,2.775,,,5.0003,0.1633,0.8166,3.036,0.002,,
00:12.5,5.0029,0.145,0.7255,3.032,0.004,,,5.0003,0.1633,0.8168,3.216,0.014,,
00:12.6,5.0029,0.1449,0.7251,3.05,0.002,,,5.0012,0.1469,0.7348,2.848,1.056,,
00:12.7,5.003,0.1449,0.7251,3.061,0.627,,,5.0007,0.1739,0.8695,3.027,0.041,,
00:12.8,5.003,0.145,0.7252,3.011,0.009,,,4.9989,0.1773,0.8864,3.062,0.007,,
00:12.9,5.0029,0.145,0.7252,3.166,0.003,,,4.9987,0.1777,0.8883,3.05,0.011,,
00:12.0,5.0028,0.145,0.7254,3.061,0.002,,,4.9979,0.1786,0.8926,3.064,0.01,,
00:13.1,5.0029,0.145,0.7254,3.042,0.006,0.003,28.1,4.9979,0.1788,0.8936,3.049,0.002,,
00:13.2,5.0029,0.145,0.7253,3.084,0.801,,,4.9978,0.1791,0.895,3.059,0.004,,
00:13.3,5.0029,0.145,0.7252,3.059,0.026,,,4.9979,0.1792,0.8955,3.048,0.006,0.0091,27.6
00:13.4,5.0027,0.158,0.7904,3.002,0.011,,,5.0005,0.1434,0.7173,0.622,3.205,,
00:13.5,5.0008,0.1765,0.8828,0.036,2.98,,,5.001,0.1438,0.7189,3.05,0.004,,
00:13.6,4.9991,0.1779,0.8891,3.053,0.203,,,5.0018,0.1444,0.722,2.481,0.012,,
00:13.7,4.9984,0.1785,0.892,3.042,0.01,,,5.0019,0.1445,0.7228,3.049,0.003,,
00:13.8,4.9974,0.1789,0.894,3.056,0.002,,,5.002,0.1447,0.7237,3.05,0.01,,
00:13.9,4.9969,0.1791,0.895,3.061,2.289,,,5.0022,0.1447,0.7236,3.063,0.006,,
00:13.0,4.9968,0.1793,0.896,3.092,3.053,,,5.0026,0.1448,0.7244,3.046,0.004,,
00:14.1,4.9968,0.1794,0.8964,3.054,0.005,0.0032,28.1,5.0027,0.1448,0.7245,3.045,0.004,,
00:14.2,4.9967,0.1794,0.8965,3.043,0.002,,,5.0008,0.1771,0.8856,3.058,0.016,,
00:14.3,4.999,0.1433,0.7161,3.123,0.003,,,5,0.1776,0.8881,3.033,0.006,0.0094,27.8
00:14.4,5.0004,0.144,0.7202,2.95,0.01,,,4.9987,0.1786,0.8927,3.041,0.013,,
00:14.5,5.0009,0.1444,0.7222,0.042,2.196,,,4.9984,0.1787,0.8935,3.21,0.039,,
00:14.6,5.0017,0.1447,0.7236,2.713,0.002,,,4.9978,0.1791,0.8949,3.06,0.013,,
00:14.7,5.0017,0.1448,0.7243,3.058,0.01,,,4.9978,0.1791,0.8951,0.119,0.012,,
00:14.8,5.0019,0.1449,0.7247,3.084,0.827,,,4.9978,0.1793,0.8962,3.089,0.004,,
00:14.9,5.0021,0.1449,0.7248,2.948,0.004,,,4.9978,0.1793,0.8962,3.046,0.015,,
00:14.0,5.0024,0.1449,0.7247,2.541,0.013,,,4.9975,0.1793,0.8961,1.085,0.616,,
00:15.1,5.0026,0.1449,0.7249,3.161,0.004,0.0034,27.5,4.9991,0.1428,0.7141,3.062,0.011,,
00:15.2,5.0029,0.1449,0.7251,2.978,0.015,,,5.0006,0.1437,0.7188,3.063,2.663,,
00:15.3,5.0029,0.1449,0.7249,3.041,0.004,,,5.0015,0.1442,0.7214,3.051,0.026,0.0096,27.8
00:15.4,5.0028,0.1446,0.7235,1.107,0.024,,,5.002,0.1445,0.7229,3.211,0.01,,
00:15.5,5.0029,0.1446,0.7232,3.094,0.05,,,5.0022,0.1447,0.7236,3.054,0.01,,
00:15.6,5.0029,0.1445,0.7228,3.078,0.515,,,5.0027,0.1447,0.724,3.066,0.013,,
00:15.7,5.0029,0.1444,0.7223,3.033,0.009,,,5.0029,0.1448,0.7242,3.045,0.002,,
00:15.8,5.0027,0.1443,0.7221,3.047,0.002,,,5.0029,0.1449,0.7247,2.14,0.021,,
00:15.9,5.0027,0.1443,0.722,1.608,0.038,,,5.0029,0.1449,0.725,3.055,0.009,,
00:15.0,5.0029,0.1443,0.722,3.04,0.011,,,5.0029,0.1449,0.7249,3.057,0.098,,
00:16.1,5.0029,0.1443,0.7217,2.905,0.009,0.0036,27.3,5.0029,0.1449,0.7247,3.055,0.029,,
00:16.2,5.0029,0.1442,0.7215,3.142,0.016,,,5.0029,0.1448,0.7246,3.233,0.012,,
00:16.3,5.0029,0.1442,0.7213,3.056,0.003,,,5.0029,0.1449,0.7247,2.971,0.004,0.0098,28.1
00:16.4,5.0029,0.1441,0.7211,3.129,2.673,,,5.0029,0.1449,0.725,3.096,0.002,,
00:16.5,5.0029,0.1442,0.7213,3.049,0.01,,,5.0029,0.1449,0.7249,3.061,0.001,,
00:16.6,5.0011,0.1774,0.8874,2.469,0.006,,,5.003,0.1449,0.7249,3.158,0.012,,
00:16.7,4.9995,0.1783,0.8915,2.498,0.021,,,5.0029,0.1449,0.7247,3.103,0.003,,
00:16.8,4.9986,0.1788,0.8938,3.059,0.011,,,5.0029,0.1448,0.7246,3.066,0.649,,
00:16.9,4.9979,0.1791,0.895,3.302,0.013,,,5.0029,0.1448,0.7246,3.052,0.023,,
00:16.0,4.9975,0.1792,0.8957,0.697,0.015,,,5.0029,0.1448,0.7246,3.053,0.012,,
00:17.1,4.9975,0.1446,0.7226,3.075,1.534,0.0038,27.5,5.0027,0.1449,0.7248,3.043,0.009,,
00:17.2,4.9998,0.1438,0.7189,3.098,3.296,,,5.0028,0.1449,0.7251,3.058,0.026,,
00:17.3,5.001,0.1443,0.7218,0.697,0.002,,,5.0029,0.1449,0.7249,3.061,0.003,0.01,28.1
00:17.4,5.0018,0.1446,0.7234,3.056,0.002,,,5.0016,0.1743,0.8719,1.605,0.004,,
00:17.5,5.0021,0.1448,0.7242,3.048,2.578,,,4.9999,0.1764,0.8818,3.055,0.661,,
00:17.6,5.0024,0.1449,0.7248,3.06,0.009,,,4.9989,0.1776,0.8877,2.568,0.004,,
00:17.7,5.0028,0.1449,0.725,2.871,0.027,,,4.9983,0.1783,0.8912,3.07,0.018,,
00:17.8,5.0028,0.1449,0.725,2.379,0.021,,,4.9979,0.1787,0.893,3.077,0.018,,
00:17.9,5.0029,0.1449,0.7249,3.06,0.026,,,4.9979,0.179,0.8944,3.059,0.532,,
00:17.0,5.0029,0.1449,0.7248,0.743,0.341,,,4.9998,0.1443,0.7214,3.051,0.001,,
00:18.1,5.0029,0.1449,0.7249,3.037,0.002,0.004,27.8,5.0011,0.1446,0.7232,3.028,0.003,,
00:18.2,5.0029,0.1449,0.725,3.042,0.002,,,5.0018,0.1447,0.7239,2.944,0.004,,
00:18.3,5.0029,0.1449,0.7251,2.084,0.037,,,5.0023,0.1448,0.7244,2.869,0.019,0.0102,28.1
00:18.4,5.0029,0.1449,0.725,3.085,0.002,,,5.0026,0.1449,0.7247,0.446,0.022,,
00:18.5,5.0029,0.1449,0.7249,3.064,0.471,,,5.0029,0.1449,0.7247,3.064,0.001,,
00:18.6,5.0029,0.1449,0.7248,0.696,0.006,,,5.0029,0.1449,0.7248,3.106,0.01,,
00:18.7,5.0029,0.1449,0.7249,3.075,2.141,,,5.0029,0.1449,0.7249,3.062,0.008,,
00:18.8,5.0029,0.1449,0.7249,3.07,3.145,,,5.0027,0.1449,0.7249,3.046,0.002,,
00:18.9,5.0028,0.1449,0.725,3.026,0.002,,,5.0028,0.1449,0.7247,3.038,0.004,,
00:19.0,5.0029,0.1449,0.725,3.165,0.022,0.0042,27.7,5.0029,0.1449,0.7247,3.079,0.192,,
00:19.1,5.0029,0.1449,0.7248,0.692,0.017,,,5.0029,0.1449,0.7248,3.055,0.629,,
00:19.2,5.0029,0.1449,0.7248,3.045,0.405,,,5.0029,0.1449,0.7248,3.049,0.005,,
00:19.3,5.0029,0.1449,0.7248,2.984,0.011,,,5.0029,0.1451,0.7261,3.062,0.026,0.0104,28
00:19.4,5.0029,0.1449,0.7249,2.754,0.013,,,5.0028,0.1451,0.7257,3.105,0.011,,
00:19.5,4.9998,0.1766,0.8829,3.064,1.392,,,5.0029,0.1449,0.725,3.049,0.504,,
00:19.6,4.9994,0.1768,0.8841,3.054,0.008,,,5.003,0.1449,0.7248,3.056,0.012,,
00:19.7,4.9978,0.1784,0.8918,3.032,0.001,,,5.0029,0.1449,0.7248,3.046,0.002,,
00:19.8,4.9978,0.1786,0.8925,3.049,0.023,,,5.0029,0.1449,0.7247,2.807,0.021,,
00:19.9,4.9977,0.1791,0.8952,2.981,0.016,,,5.0029,0.1449,0.7249,1.462,0.017,,
00:20.0,4.9976,0.1792,0.8954,3.054,0.004,0.0045,28.5,5.0029,0.1449,0.7249,3.067,0.007,,
00:20.1,4.9973,0.1793,0.8962,3.058,0.545,,,5.0029,0.1448,0.7246,3.06,0.011,,
00:20.2,4.9973,0.1793,0.8962,3.056,0.003,,,5.0025,0.1742,0.8714,3.057,0.001,,
00:20.3,4.9973,0.1794,0.8964,3.049,0.524,,,5.0003,0.1766,0.8833,3.148,0.04,0.0107,28
00:20.4,4.9972,0.1794,0.8965,3.046,0.168,,,4.9992,0.1776,0.8877,3.051,3.141,,
00:20.5,4.997,0.1795,0.8971,3.067,0.667,,,4.9984,0.1784,0.8916,3.084,0.002,,
00:20.6,4.9969,0.1795,0.8971,3.054,2.671,,,4.9978,0.1787,0.8933,3.067,0.029,,
00:20.7,4.9967,0.1796,0.8973,3.047,0.002,,,4.9979,0.179,0.8948,2.478,0.371,,
00:20.8,4.9994,0.1436,0.7177,2.479,0.007,,,4.9979,0.1791,0.8953,3.048,0.002,,
00:20.9,5.0004,0.1442,0.721,3.034,0.005,,,4.9979,0.1793,0.896,3.058,0.021,,
