time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:05.5,5.0029,0.1453,0.7269,3.075,0.136,,,5.0041,0.1435,0.718,3.048,0.002,0.0358,27.2
00:05.6,5.0029,0.1453,0.7269,3.087,1.007,,,5.0041,0.1424,0.7126,3.079,0.044,,
00:05.7,5.0029,0.1453,0.727,3.108,0.01,,,5.0041,0.1443,0.7223,3.036,0.006,,
00:05.8,5.0029,0.1453,0.727,3.041,0.004,,,5.0041,0.143,0.7155,3.057,0.008,,
00:05.9,5.0029,0.1453,0.727,3.037,0.009,,,5.0041,0.1421,0.7111,3.059,0.005,,
00:05.0,5.0029,0.1453,0.7268,3.064,0.445,,,5.0041,0.1416,0.7087,3.081,0,,
00:06.1,5.0029,0.1453,0.7268,3.068,0.617,0.0014,27.6,5.0041,0.1413,0.7069,3.054,0.019,,
00:06.2,5.0029,0.1453,0.7269,3.062,0.002,,,5.0041,0.1409,0.7053,3.097,0.004,,
00:06.3,5.0029,0.1453,0.7268,2.748,0.002,,,5.004,0.1399,0.7002,3.067,0.013,,
00:06.4,5.0028,0.1453,0.727,3.082,2.632,,,5.0041,0.1388,0.6946,3.038,0.004,,
00:06.5,5.0029,0.1453,0.727,3.109,0.01,,,5.0041,0.1382,0.6914,3.087,0.006,0.036,27.9
00:06.6,5.0029,0.1452,0.7267,0.841,0.025,,,5.0042,0.1396,0.6984,3.063,0.322,,
00:06.7,5.0029,0.1453,0.7269,3.062,0.012,,,5.0042,0.1386,0.6934,3.051,0.009,,
00:06.8,5.0029,0.1453,0.727,3.053,0.045,,,5.0042,0.1379,0.6903,3.062,0.004,,
00:06.9,5.0029,0.1453,0.7269,3.052,0.003,,,5.004,0.1376,0.6885,1.143,0.009,,
00:06.0,5.0029,0.1453,0.7271,3.088,0.006,,,5.0041,0.1374,0.6873,0.818,0.005,,
00:07.1,5.0029,0.1454,0.7272,3.077,0.002,0.0016,27.7,5.0041,0.1372,0.6866,3.056,0.001,,
00:07.2,5.0029,0.1453,0.7268,0.65,0.028,,,5.0039,0.1411,0.7061,3.049,0.002,,
00:07.3,5.003,0.1453,0.7269,3.102,0.01,,,5.0037,0.143,0.7155,2.736,0.002,,
00:07.4,5.0029,0.1453,0.727,3.054,0.012,,,5.0037,0.144,0.7208,3.056,0.005,,
00:07.5,5.0029,0.1453,0.7269,3.042,0.002,,,5.0034,0.1447,0.7238,3.045,0.003,0.0362,27.4
00:07.6,5.0029,0.1453,0.7271,3.061,0.008,,,5.0031,0.145,0.7254,3.049,0.002,,
00:07.7,5.003,0.1453,0.7268,3.066,0.628,,,5.0029,0.1452,0.7264,3.076,0.018,,
00:07.8,5.0029,0.1452,0.7265,3.044,0.247,,,5.0029,0.1454,0.7272,2.619,0.005,,
00:07.9,5.0029,0.1452,0.7266,2.887,0.089,,,5.003,0.1454,0.7277,3.088,0.004,,
00:07.0,5.0029,0.1452,0.7264,3.073,0.003,,,5.0029,0.1455,0.7278,3.05,0.004,,
00:08.1,5.0029,0.1452,0.7263,3.115,0.012,0.0018,28.1,5.0029,0.1455,0.7281,3.059,0.002,,
00:08.2,5.0029,0.1452,0.7264,3.057,0.004,,,5.0029,0.1456,0.7285,3.022,0.007,,
00:08.3,5.0029,0.1451,0.7261,3.064,0.009,,,5.0029,0.1456,0.7285,3.059,0.979,,
00:08.4,5.0029,0.1451,0.7261,3.025,0.011,,,5.0029,0.1456,0.7285,3.072,0.009,,
