time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
02:59.9,5.0247,0.0132,0.0665,3.027,0.011,,,5.0242,0.0132,0.0664,2.019,0.007,,
02:59.0,5.0247,0.0132,0.0665,3.254,0.005,,,5.0242,0.0132,0.0665,3.253,0.02,,
03:00.1,5.0249,0.0132,0.0664,3.042,0.009,0.0261,27,5.0242,0.0132,0.0664,3.046,0.062,,
03:00.2,5.0249,0.0132,0.0665,3.03,0.004,,,5.0242,0.0132,0.0664,3.053,0.008,,
03:00.3,5.025,0.0132,0.0664,3.084,0.093,,,5.0242,0.0132,0.0665,3.045,0.557,,
03:00.4,5.0246,0.0132,0.0664,3.102,0.006,,,5.0242,0.0132,0.0664,3.04,0.013,,
03:00.5,5.0243,0.0132,0.0665,3.108,0.004,,,5.0241,0.0132,0.0664,3.047,0.006,0.0442,26.6
03:00.6,5.0243,0.0133,0.0666,3.064,0.026,,,5.0242,0.0132,0.0664,3.055,0.662,,
03:00.7,5.0244,0.0132,0.0665,2.452,0.013,,,5.0242,0.0132,0.0664,3.277,0.005,,
03:00.8,5.0244,0.0132,0.0665,3.099,0.008,,,5.0242,0.0132,0.0664,2.869,0.012,,
03:00.9,5.0247,0.0132,0.0665,3.039,0.007,,,5.0242,0.0132,0.0664,3.044,0.019,,
03:00.0,5.0246,0.0132,0.0664,3.041,0.267,,,5.0242,0.0132,0.0664,1.008,0.005,,
03:01.1,5.0247,0.0132,0.0664,0.626,0.456,0.0261,28.1,5.0242,0.0132,0.0664,3.05,0.013,,
03:01.2,5.0248,0.0132,0.0664,3.058,0.006,,,5.0241,0.0132,0.0664,3.032,0.005,,
03:01.3,5.0248,0.0132,0.0664,0.219,0.013,,,5.0241,0.0132,0.0664,3.033,0.481,,
03:01.4,5.0247,0.0132,0.0664,3.09,0.024,,,5.0241,0.0132,0.0665,3.044,2.074,,
03:01.5,5.0247,0.0132,0.0664,3.043,0.018,,,5.0242,0.0132,0.0664,2.459,0.013,0.0442,27.9
03:01.6,5.0249,0.0132,0.0665,3.01,0.008,,,5.0241,0.0132,0.0664,3.055,0.023,,
03:01.7,5.0248,0.0132,0.0665,3.038,0.007,,,5.0242,0.0132,0.0664,3.036,0.011,,
03:01.8,5.0251,0.0133,0.0666,3.043,0.009,,,5.0242,0.0132,0.0665,3.034,0.008,,
03:01.9,5.0251,0.0132,0.0666,3.034,0.004,,,5.0242,0.0132,0.0665,2.482,0.01,,
03:01.0,5.0251,0.0133,0.0667,3.05,0.023,,,5.0242,0.0133,0.0666,3.101,0.005,,
03:02.1,5.0252,0.0133,0.0667,1.012,0.656,0.0261,28.1,5.0242,0.0133,0.0666,3.071,2.165,,
03:02.2,5.0254,0.0133,0.0666,3.066,0.007,,,5.0242,0.0133,0.0666,3.038,0.074,,
03:02.3,5.0253,0.0132,0.0666,3.039,0.027,,,5.0242,0.0132,0.0665,3.101,0.006,,
03:02.4,5.0253,0.0132,0.0665,3.045,0.006,,,5.0241,0.0132,0.0664,3.017,0.011,,
03:02.5,5.0253,0.0133,0.0666,3.19,0.007,,,5.0242,0.0132,0.0665,3.037,0.022,0.0442,27
03:02.6,5.0253,0.0132,0.0665,3.026,0.011,,,5.0242,0.0132,0.0664,3.06,0.497,,
03:02.7,5.0254,0.0132,0.0666,3.04,2.033,,,5.0241,0.0132,0.0664,0.701,0.153,,
03:02.8,5.0254,0.0133,0.0666,0.617,1.387,,,5.0242,0.0132,0.0664,3.038,0.012,,
03:02.9,5.0254,0.0133,0.0667,0.687,0.009,,,5.0242,0.0132,0.0665,3.029,0.003,,
03:02.0,5.0253,0.0133,0.0667,3.059,0.008,,,5.0241,0.0132,0.0665,3.04,2.663,,
03:03.1,5.0253,0.0133,0.0667,3.036,0.01,0.0261,27.8,5.0242,0.0132,0.0664,3.097,0.014,,
03:03.2,5.0253,0.0133,0.0666,3.056,0.006,,,5.0241,0.0132,0.0664,3.047,0.017,,
03:03.3,5.0253,0.0133,0.0667,0.727,0.008,,,5.0242,0.0132,0.0664,3.026,0.55,,
03:03.4,5.0253,0.0133,0.0666,3.032,0.011,,,5.0242,0.0132,0.0664,3.022,0.004,,
03:03.5,5.0254,0.0132,0.0664,3.05,0.004,,,5.0242,0.0132,0.0664,3.06,0.022,0.0442,27
03:03.6,5.0254,0.0133,0.0666,3.047,2.665,,,5.0242,0.0132,0.0664,3.089,0.005,,
03:03.7,5.0254,0.0132,0.0665,3.07,0.318,,,5.0242,0.0132,0.0664,3.05,0.007,,
03:03.8,5.0253,0.0132,0.0664,3.033,0.007,,,5.0241,0.0132,0.0665,3.047,0.021,,
03:03.9,5.0253,0.0132,0.0664,3.03,0.007,,,5.0241,0.0132,0.0665,3.048,0.007,,
03:03.0,5.0254,0.0132,0.0665,3.039,0.012,,,5.0241,0.0132,0.0664,3.04,0.388,,
03:04.1,5.0251,0.0132,0.0664,3.048,1.779,0.0262,27.5,5.0242,0.0132,0.0664,3.07,0.028,,
03:04.2,5.0248,0.0132,0.0664,3.092,0.012,,,5.0241,0.0132,0.0664,3.065,0.004,,
03:04.3,5.0244,0.0132,0.0665,3.051,0.023,,,5.0242,0.0132,0.0664,3.065,0.006,,
03:04.4,5.0243,0.0132,0.0664,3.046,0.007,,,5.0241,0.0132,0.0664,3.046,0.006,,
03:04.5,5.0243,0.0132,0.0664,3.047,0.029,,,5.0241,0.0132,0.0664,3.031,0.03,0.0442,27.5
03:04.6,5.0244,0.0132,0.0664,3.029,0.008,,,5.0242,0.0132,0.0664,3.007,0.006,,
03:04.7,5.0244,0.0132,0.0665,3.025,0.006,,,5.0242,0.0132,0.0664,3.033,0.006,,
03:04.8,5.0243,0.0132,0.0664,3.056,0.009,,,5.0242,0.0132,0.0664,3.045,0.009,,
03:04.9,5.0242,0.0132,0.0664,3.045,2.526,,,5.0242,0.0132,0.0664,2.987,0.004,,
03:04.0,5.0244,0.0132,0.0664,3.049,0.057,,,5.0242,0.0132,0.0664,3.059,0.004,,
03:05.1,5.0244,0.0132,0.0664,3.045,0.009,0.0262,27.2,5.0241,0.0132,0.0664,0.034,0.022,,
03:05.2,5.0245,0.0132,0.0664,3.021,0.004,,,5.0242,0.0132,0.0664,3.261,0.005,,
03:05.3,5.0243,0.0132,0.0664,3.04,0.013,,,5.0242,0.0132,0.0665,3.063,0.008,,
03:05.4,5.0244,0.0132,0.0664,3.099,0.024,,,5.0242,0.0132,0.0664,3.048,0.308,,
03:05.5,5.0242,0.0132,0.0664,3.053,0.007,,,5.0242,0.0132,0.0664,3.042,0.634,0.0442,27.1
03:05.6,5.0243,0.0132,0.0664,3.048,0.01,,,5.0242,0.0132,0.0664,3.053,0.302,,
03:05.7,5.0243,0.0132,0.0665,3.072,1.935,,,5.0242,0.0132,0.0664,3.043,0.025,,
03:05.8,5.0245,0.0132,0.0665,3.042,0.026,,,5.0242,0.0132,0.0664,3.055,0.004,,
03:05.9,5.0247,0.0132,0.0665,2.512,0.025,,,5.0241,0.0132,0.0664,3.043,0.011,,
03:05.0,5.0247,0.0132,0.0665,3.249,0.009,,,5.0242,0.0132,0.0665,2.943,0.006,,
03:06.1,5.0248,0.0133,0.0666,3.048,0.008,0.0262,27.9,5.0241,0.0132,0.0664,3.054,0.186,,
03:06.2,5.0248,0.0132,0.0665,3.052,0.545,,,5.0242,0.0132,0.0665,1.77,0.019,,
03:06.3,5.0248,0.0132,0.0665,3.057,0.007,,,5.0241,0.0132,0.0664,0.105,0.02,,
03:06.4,5.0248,0.0132,0.0664,3.034,0.01,,,5.0241,0.0132,0.0664,1.109,0.011,,
03:06.5,5.0251,0.0132,0.0665,3.06,0.009,,,5.0242,0.0132,0.0664,3.038,0.008,0.0443,27.8
03:06.6,5.0251,0.0132,0.0665,2.623,0.009,,,5.0241,0.0132,0.0664,3.041,0.004,,
03:06.7,5.0251,0.0132,0.0664,3.042,0.014,,,5.0241,0.0132,0.0665,3.038,0.007,,
03:06.8,5.0252,0.0132,0.0664,3.176,0.009,,,5.0242,0.0132,0.0665,3.045,0.006,,
03:06.9,5.0253,0.0132,0.0664,3.047,0.013,,,5.0237,0.0132,0.0664,3.05,0.018,,
03:06.0,5.0253,0.0132,0.0665,3.036,0.007,,,5.0235,0.0132,0.0664,3.015,0.004,,
03:07.1,5.0252,0.0132,0.0664,3.059,0.008,0.0262,28.1,5.0239,0.0132,0.0665,3.029,0.005,,
03:07.2,5.0251,0.0132,0.0664,3.025,0.036,,,5.0241,0.0132,0.0664,3.044,0.021,,
03:07.3,5.0251,0.0132,0.0665,3.049,0.01,,,5.0241,0.0132,0.0664,3.038,0.414,,
03:07.4,5.0252,0.0132,0.0664,3.043,0.018,,,5.0242,0.0132,0.0665,3.045,0.005,,
03:07.5,5.0251,0.0132,0.0665,3.046,0.037,,,5.0242,0.0132,0.0665,3.051,0.004,0.0443,27.5
03:07.6,5.0251,0.0132,0.0664,2.511,0.008,,,5.0242,0.0132,0.0664,0.743,0.206,,
03:07.7,5.0252,0.0132,0.0664,3.059,0.222,,,5.0241,0.0132,0.0664,1.643,0.006,,
03:07.8,5.0253,0.0132,0.0664,0.692,0.015,,,5.0241,0.0132,0.0664,2.459,0.014,,
03:07.9,5.0253,0.0132,0.0664,3.052,0.005,,,5.0242,0.0132,0.0664,3.034,0.004,,
03:07.0,5.0253,0.0132,0.0664,2.494,0.014,,,5.0242,0.0132,0.0665,3.049,0.476,,
03:08.1,5.0253,0.0132,0.0664,2.466,0.005,0.0262,27.6,5.0241,0.0132,0.0665,3.049,0.061,,
03:08.2,5.0254,0.0132,0.0664,3.044,0.087,,,5.0242,0.0132,0.0665,3.053,0.016,,
03:08.3,5.0254,0.0132,0.0665,3.054,0.012,,,5.0242,0.0132,0.0665,3.048,0.057,,
03:08.4,5.0254,0.0132,0.0665,3.184,0.007,,,5.0242,0.0132,0.0664,3.07,0.595,,
03:08.5,5.0254,0.0133,0.0668,3.106,0.055,,,5.0242,0.0132,0.0664,3.084,0.006,0.0443,27.5
03:08.6,5.0254,0.0133,0.0667,2.798,0.009,,,5.0241,0.0132,0.0665,3.033,0.004,,
03:08.7,5.0253,0.0133,0.0666,3.252,0.015,,,5.0241,0.0132,0.0664,3.041,0.004,,
03:08.8,5.0254,0.0133,0.0666,3.058,0.017,,,5.0242,0.0132,0.0665,3.083,0.01,,
03:08.9,5.0254,0.0132,0.0664,0.689,0.004,,,5.0241,0.0132,0.0664,3.055,0.66,,
03:08.0,5.0254,0.0132,0.0664,3.24,2.509,,,5.0241,0.0132,0.0664,3.046,0.005,,
03:09.1,5.0251,0.0132,0.0665,3.053,0.016,0.0263,27.8,5.0241,0.0132,0.0665,3.059,0.006,,
03:09.2,5.0249,0.0132,0.0665,3.019,0.007,,,5.0242,0.0132,0.0664,0.725,0.543,,
03:09.3,5.0246,0.0132,0.0664,0.592,2.177,,,5.0242,0.0132,0.0664,3.068,0.006,,
03:09.4,5.0246,0.0132,0.0665,2.928,0.012,,,5.0242,0.0132,0.0665,3.049,0.004,,
03:09.5,5.0246,0.0132,0.0665,3.066,0.01,,,5.0241,0.0132,0.0664,3.023,0.006,0.0443,26.6
03:09.6,5.0247,0.0132,0.0664,3.043,0.009,,,5.0242,0.0132,0.0664,2.975,0.01,,
03:09.7,5.0247,0.0132,0.0664,0.689,0.019,,,5.0241,0.0132,0.0664,0.895,0.076,,
03:09.8,5.0247,0.0132,0.0665,3.077,0.104,,,5.0242,0.0132,0.0665,3.045,3.131,,
03:09.9,5.025,0.0132,0.0664,3.039,0.006,,,5.0242,0.0132,0.0664,3.058,0.013,,
03:09.0,5.025,0.0132,0.0665,3.206,0.004,,,5.0242,0.0132,0.0664,3.02,3.287,,
03:10.1,5.025,0.0133,0.0666,3.12,0.028,0.0263,27.2,5.0242,0.0132,0.0664,3.012,0.008,,
03:10.2,5.025,0.0133,0.0666,3.068,0.025,,,5.0242,0.0132,0.0664,3.059,0.008,,
03:10.3,5.0252,0.0132,0.0665,3.199,0.004,,,5.0242,0.0132,0.0664,3.046,0.012,,
03:10.4,5.0252,0.0132,0.0664,2.929,0.007,,,5.0242,0.0132,0.0664,3.059,0.032,,
03:10.5,5.0249,0.0132,0.0664,3.05,2.453,,,5.0242,0.0132,0.0664,3.28,0.668,0.0443,27.9
03:10.6,5.0249,0.0132,0.0664,3.047,0.012,,,5.0241,0.0132,0.0665,3.048,3.279,,
03:10.7,5.025,0.0132,0.0665,3.054,0.013,,,5.0242,0.0132,0.0664,3.039,2.246,,
03:10.8,5.025,0.0132,0.0665,3.025,0.006,,,5.0242,0.0132,0.0664,0.11,1.541,,
03:10.9,5.0251,0.0132,0.0665,0.632,0.221,,,5.0242,0.0132,0.0664,2.975,0.008,,
03:10.0,5.0251,0.0133,0.0666,3.026,0.003,,,5.0242,0.0132,0.0665,3.046,0.014,,
03:11.1,5.0251,0.0132,0.0666,3.084,0.004,0.0263,27.7,5.0242,0.0132,0.0664,3.035,0.006,,
03:11.2,5.0251,0.0132,0.0664,3.051,3.307,,,5.0242,0.0132,0.0664,3.042,0.008,,
03:11.3,5.0251,0.0132,0.0664,3.041,0.005,,,5.0242,0.0132,0.0664,3.068,0.579,,
03:11.4,5.025,0.0132,0.0664,1.424,0.022,,,5.0242,0.0132,0.0664,3.045,0.002,,
03:11.5,5.0251,0.0132,0.0664,3.058,0.012,,,5.0241,0.0132,0.0664,3.042,0.004,0.0444,27.1
03:11.6,5.0251,0.0132,0.0664,2.976,0.007,,,5.0242,0.0132,0.0664,0.124,0.026,,
03:11.7,5.025,0.0132,0.0664,3.133,0.027,,,5.0241,0.0132,0.0664,0.678,0.537,,
03:11.8,5.0249,0.0132,0.0664,3.102,3.075,,,5.0239,0.0132,0.0665,3.038,0.014,,
03:11.9,5.025,0.0132,0.0665,3.109,0.006,,,5.0242,0.0132,0.0664,3.045,0.013,,
03:11.0,5.025,0.0132,0.0665,0.552,0.004,,,5.0242,0.0132,0.0665,3.053,0.003,,
03:12.1,5.025,0.0132,0.0664,3.03,2.665,0.0263,28.1,5.0242,0.0132,0.0664,2.281,0.008,,
03:12.2,5.0251,0.0132,0.0664,3.042,0.128,,,5.0242,0.0132,0.0664,3.023,0.007,,
03:12.3,5.0252,0.0132,0.0665,3.045,0.01,,,5.0241,0.0132,0.0664,3.034,0.003,,
03:12.4,5.0251,0.0132,0.0665,3.063,0.013,,,5.0242,0.0132,0.0664,3.045,0.056,,
03:12.5,5.0252,0.0132,0.0665,3.166,0.027,,,5.0241,0.0132,0.0664,0.813,0.535,0.0444,27.8
03:12.6,5.0251,0.0132,0.0664,3.042,0.006,,,5.0241,0.0132,0.0664,3.027,0.009,,
03:12.7,5.025,0.0132,0.0664,2.998,0.006,,,5.0241,0.0132,0.0664,3.056,0.013,,
03:12.8,5.0251,0.0132,0.0664,3.061,0.011,,,5.0241,0.0132,0.0665,3.063,2.461,,
03:12.9,5.0252,0.0132,0.0664,3.035,2.656,,,5.0242,0.0132,0.0664,3.069,0.111,,
03:12.0,5.0253,0.0132,0.0664,3.093,0.008,,,5.0242,0.0132,0.0664,3.053,0.029,,
03:13.1,5.0254,0.0132,0.0665,3.041,0.004,0.0263,27.5,5.0242,0.0132,0.0664,3.037,0.007,,
03:13.2,5.0253,0.0132,0.0666,3.049,0.012,,,5.0242,0.0132,0.0664,3.059,0.007,,
03:13.3,5.0254,0.0133,0.0666,3.016,0.016,,,5.0242,0.0132,0.0664,3.033,0.025,,
03:13.4,5.0253,0.0132,0.0666,3.042,0.594,,,5.0241,0.0132,0.0665,3.061,0.007,,
03:13.5,5.0252,0.0132,0.0666,3.043,0.01,,,5.0242,0.0132,0.0664,3.033,0.007,0.0444,28
03:13.6,5.0253,0.0132,0.0665,3.064,0.015,,,5.0242,0.0132,0.0664,1.808,0.013,,
03:13.7,5.0253,0.0132,0.0664,3.079,0.005,,,5.0242,0.0132,0.0664,2.588,0.652,,
03:13.8,5.0253,0.0132,0.0665,3.038,2.669,,,5.0242,0.0132,0.0664,3.075,0.025,,
03:13.9,5.0254,0.0132,0.0665,3.041,0.023,,,5.0241,0.0132,0.0664,3.039,0.007,,
03:13.0,5.0252,0.0132,0.0664,3.058,0.012,,,5.0242,0.0132,0.0664,0.17,0.027,,
03:14.1,5.0249,0.0132,0.0665,3.021,0.016,0.0263,27.7,5.0242,0.0132,0.0665,3.047,0.007,,
03:14.2,5.0246,0.0133,0.0666,3.171,2.671,,,5.0242,0.0132,0.0664,2.823,0.007,,
03:14.3,5.0245,0.0132,0.0665,3.053,0.012,,,5.0242,0.0132,0.0664,3.005,0.011,,
03:14.4,5.0245,0.0132,0.0664,2.459,0.005,,,5.0242,0.0132,0.0664,3.279,0.024,,
03:14.5,5.0246,0.0132,0.0664,3.037,0.008,,,5.0242,0.0132,0.0664,0.698,0.53,0.0444,28
03:14.6,5.0247,0.0132,0.0664,3.046,0.497,,,5.0241,0.0132,0.0664,3.05,0.009,,
03:14.7,5.0248,0.0132,0.0664,3.05,0.008,,,5.0241,0.0132,0.0664,3.007,0.006,,
03:14.8,5.0248,0.0132,0.0665,3.047,0.018,,,5.0241,0.0132,0.0663,3.029,0.018,,
03:14.9,5.0247,0.0132,0.0664,3.058,0.019,,,5.0242,0.0132,0.0664,3.056,2.528,,
03:14.0,5.0248,0.0133,0.0666,3.076,0.043,,,5.0241,0.0132,0.0665,3.043,0.016,,
03:15.1,5.0249,0.0132,0.0664,3.039,0.008,0.0264,27.9,5.0242,0.0132,0.0664,3.219,1.921,,
03:15.2,5.0248,0.0132,0.0664,2.469,0.006,,,5.0241,0.0132,0.0664,3.106,0.765,,
03:15.3,5.0247,0.0133,0.0666,3.045,0.237,,,5.0241,0.0132,0.0664,0.609,0.008,,
03:15.4,5.0246,0.0133,0.0666,3.047,0.766,,,5.0242,0.0132,0.0664,2.439,2.652,,
03:15.5,5.0244,0.0133,0.0666,3.043,0.037,,,5.0241,0.0133,0.0666,3.07,0.008,0.0444,27.4
03:15.6,5.0242,0.0132,0.0666,3.047,0.006,,,5.0242,0.0133,0.0666,3.025,0.011,,
03:15.7,5.0243,0.0132,0.0665,3.067,0.007,,,5.0241,0.0132,0.0664,3.067,0.007,,
03:15.8,5.0242,0.0132,0.0666,3.216,2.578,,,5.0242,0.0132,0.0664,3.043,0.013,,
03:15.9,5.0242,0.0132,0.0665,3.046,2.289,,,5.0242,0.0132,0.0664,2.586,0.025,,
03:15.0,5.0242,0.0132,0.0665,2.521,0.005,,,5.0242,0.0132,0.0664,3.056,0.007,,
03:16.1,5.0242,0.0132,0.0664,3.047,0.012,0.0264,26.8,5.0242,0.0132,0.0664,3.039,0.015,,
03:16.2,5.0242,0.0132,0.0664,3.045,0.04,,,5.0241,0.0132,0.0664,0.614,0.059,,
03:16.3,5.0242,0.0132,0.0664,3.038,0.014,,,5.0242,0.0132,0.0664,3.036,0.007,,
03:16.4,5.0242,0.0132,0.0664,3.047,0.004,,,5.0242,0.0132,0.0664,3.032,0.011,,
03:16.5,5.0243,0.0132,0.0665,2.896,0.009,,,5.0242,0.0132,0.0664,1.131,0.025,0.0444,27.4
03:16.6,5.0244,0.0132,0.0666,3.069,0.005,,,5.0242,0.0132,0.0664,3.052,0.008,,
03:16.7,5.0245,0.0132,0.0665,3.048,0.014,,,5.0241,0.0132,0.0664,3.038,0.013,,
03:16.8,5.0246,0.0132,0.0664,2.852,0.006,,,5.0241,0.0132,0.0665,3.028,0.008,,
03:16.9,5.0246,0.0132,0.0664,3.016,0.012,,,5.0242,0.0132,0.0665,3.036,0.008,,
03:16.0,5.0247,0.0132,0.0664,3.03,0.006,,,5.0242,0.0132,0.0664,3.076,0.008,,
03:17.1,5.0247,0.0132,0.0664,0.305,0.016,0.0264,27.2,5.0242,0.0132,0.0665,3.03,0.005,,
03:17.2,5.0246,0.0132,0.0665,3.04,0.004,,,5.0242,0.0132,0.0664,3.032,0.034,,
03:17.3,5.0247,0.0132,0.0665,3.042,0.077,,,5.0241,0.0132,0.0664,3.268,0.007,,
03:17.4,5.0246,0.0132,0.0664,3.049,0.008,,,5.0242,0.0132,0.0664,3.033,0.006,,
03:17.5,5.0246,0.0132,0.0664,3.032,0.017,,,5.0241,0.0132,0.0665,3.05,0.005,0.0445,27.7
03:17.6,5.0245,0.0132,0.0665,3.098,0.007,,,5.0242,0.0132,0.0664,3.041,0.046,,
03:17.7,5.0245,0.0132,0.0665,3.07,0.046,,,5.0241,0.0132,0.0665,3.058,0.033,,
03:17.8,5.0245,0.0132,0.0666,3.027,0.006,,,5.0241,0.0132,0.0664,3.046,0.008,,
03:17.9,5.0245,0.0132,0.0664,0.903,0.007,,,5.0242,0.0132,0.0664,3.039,0.005,,
03:17.0,5.0245,0.0132,0.0665,3.047,0.005,,,5.0241,0.0132,0.0665,3.032,0.003,,
03:18.1,5.0245,0.0132,0.0665,3.041,0.052,0.0264,27.3,5.0242,0.0132,0.0665,3.027,2.653,,
03:18.2,5.0245,0.0132,0.0665,3.218,0.375,,,5.0241,0.0132,0.0664,2.526,2.384,,
03:18.3,5.0244,0.0132,0.0664,0.825,0.006,,,5.0241,0.0132,0.0664,3.046,0.005,,
03:18.4,5.0242,0.0132,0.0665,3.1,0.008,,,5.0241,0.0132,0.0664,3.055,0.015,,
03:18.5,5.0242,0.0132,0.0665,3.064,0.211,,,5.0242,0.0132,0.0665,3.073,0.025,0.0445,27.4
03:18.6,5.0242,0.0132,0.0664,3.044,0.022,,,5.0242,0.0132,0.0664,3.047,0.011,,
03:18.7,5.0244,0.0132,0.0664,3.048,0.478,,,5.0242,0.0132,0.0664,3.02,0.005,,
03:18.8,5.0244,0.0132,0.0664,3.048,0.007,,,5.0241,0.0132,0.0665,3.01,0.004,,
03:18.9,5.0244,0.0132,0.0664,3.043,0.042,,,5.0241,0.0133,0.0666,3.028,2.648,,
03:18.0,5.0243,0.0132,0.0664,3.022,0.003,,,5.0241,0.0132,0.0664,3.044,2.296,,
03:19.1,5.0242,0.0132,0.0664,3.044,0.129,0.0264,27.9,5.0241,0.0132,0.0664,3.043,0.019,,
03:19.2,5.0241,0.0132,0.0664,1.017,0.006,,,5.0242,0.0132,0.0664,3.045,0.052,,
03:19.3,5.0242,0.0132,0.0664,3.058,1.485,,,5.0242,0.0132,0.0664,3.019,0.019,,
03:19.4,5.0241,0.0132,0.0664,3.028,0.005,,,5.0242,0.0132,0.0664,3.051,0.025,,
03:19.5,5.0243,0.0132,0.0665,3.046,0.031,,,5.0242,0.0132,0.0664,3.058,0.013,0.0445,27.8
03:19.6,5.0243,0.0132,0.0665,3.258,0.003,,,5.0242,0.0132,0.0664,3.036,0.005,,
03:19.7,5.0243,0.0132,0.0664,3.046,0.025,,,5.0242,0.0132,0.0665,0.671,0.108,,
03:19.8,5.0243,0.0132,0.0664,3.028,0.005,,,5.0241,0.0132,0.0665,2.607,2.648,,
03:19.9,5.0244,0.0132,0.0665,2.911,0.324,,,5.0242,0.0132,0.0664,3.043,0.089,,
03:19.0,5.0244,0.0132,0.0665,2.916,0.005,,,5.0241,0.0132,0.0664,3.04,0.031,,
03:20.1,5.0245,0.0132,0.0664,3.053,2.646,0.0265,27.5,5.0241,0.0132,0.0664,0.756,0.645,,
03:20.2,5.0246,0.0132,0.0664,3.076,0.005,,,5.0241,0.0132,0.0665,3.037,0.39,,
03:20.3,5.0246,0.0132,0.0664,0.229,0.006,,,5.0242,0.0132,0.0664,3.026,0.01,,
03:20.4,5.0242,0.0132,0.0664,3.05,0.009,,,5.0241,0.0132,0.0664,3.031,0.004,,
03:20.5,5.0243,0.0132,0.0665,3.051,0.02,,,5.0242,0.0132,0.0665,3.074,1.139,0.0445,28.5
03:20.6,5.0243,0.0132,0.0665,3.033,0.005,,,5.0242,0.0132,0.0664,0.815,0.118,,
03:20.7,5.0243,0.0133,0.0667,3.269,0.4,,,5.0242,0.0132,0.0664,3.046,0.012,,
03:20.8,5.0243,0.0132,0.0666,0.45,0.012,,,5.0241,0.0132,0.0664,3.047,0.016,,
03:20.9,5.0243,0.0132,0.0664,3.035,0.003,,,5.0242,0.0132,0.0664,2.264,0.018,,
03:20.0,5.0243,0.0132,0.0664,3.289,0.022,,,5.0242,0.0132,0.0664,3.058,0.009,,
03:21.1,5.0244,0.0132,0.0664,2.522,0.011,0.0265,27.9,5.0242,0.0132,0.0664,3.078,0.006,,
03:21.2,5.0244,0.0132,0.0664,3.049,0.009,,,5.0241,0.0132,0.0664,2.655,0.006,,
03:21.3,5.0244,0.0132,0.0665,3.051,0.017,,,5.0242,0.0132,0.0664,3.041,2.352,,
03:21.4,5.0244,0.0132,0.0665,3.048,3.295,,,5.0241,0.0132,0.0664,3.136,0.675,,
03:21.5,5.0247,0.0133,0.0666,3.221,0.295,,,5.0241,0.0132,0.0665,3.046,0.786,0.0445,27.8
03:21.6,5.0247,0.0132,0.0666,3.046,0.008,,,5.0242,0.0132,0.0664,3.04,0.052,,
03:21.7,5.025,0.0133,0.0667,3.057,2.274,,,5.0242,0.0132,0.0664,3.03,0.013,,
03:21.8,5.025,0.0133,0.0667,0.621,0.008,,,5.0242,0.0132,0.0664,3.047,0.338,,
03:21.9,5.0252,0.0133,0.0667,3.035,0.017,,,5.0242,0.0132,0.0664,3.091,0.005,,
03:21.0,5.0253,0.0133,0.0666,3.039,0.12,,,5.0241,0.0132,0.0664,3.062,0.003,,
03:22.1,5.0253,0.0133,0.0667,3.029,1.719,0.0265,27.3,5.0241,0.0132,0.0664,0.81,0.007,,
03:22.2,5.0254,0.0133,0.0668,0.122,0.014,,,5.0242,0.0132,0.0664,3.198,2.658,,
03:22.3,5.0254,0.0133,0.0668,3.058,0.004,,,5.0242,0.0132,0.0665,3.047,0.816,,
03:22.4,5.0254,0.0133,0.067,2.928,0.011,,,5.0242,0.0132,0.0664,3.049,0.023,,
03:22.5,5.0254,0.0133,0.067,3.058,0.006,,,5.0241,0.0132,0.0665,3.026,0.014,0.0446,27.4
03:22.6,5.0254,0.0133,0.0668,2.459,0.003,,,5.0242,0.0132,0.0665,2.996,0.005,,
03:22.7,5.0254,0.0133,0.0666,3.046,2.383,,,5.0241,0.0132,0.0664,2.611,0.006,,
03:22.8,5.0254,0.0133,0.0667,3.045,0.07,,,5.0242,0.0132,0.0664,3.033,0.002,,
03:22.9,5.0253,0.0133,0.0667,3.054,0.015,,,5.0242,0.0132,0.0665,3.038,0.022,,
03:22.0,5.0254,0.0133,0.0667,3.049,0.022,,,5.0241,0.0132,0.0664,3.04,0.006,,
03:23.1,5.0254,0.0132,0.0665,3.028,0.004,0.0265,26.9,5.0241,0.0132,0.0664,3.057,3.079,,
03:23.2,5.0254,0.0132,0.0664,3.071,0.005,,,5.0242,0.0132,0.0664,3.045,0.007,,
03:23.3,5.0254,0.0132,0.0664,3.101,0.006,,,5.0242,0.0132,0.0664,3.059,0.013,,
03:23.4,5.0254,0.0132,0.0664,2.52,0.135,,,5.0241,0.0132,0.0664,3.017,0.006,,
03:23.5,5.0254,0.0132,0.0665,3.056,0.005,,,5.0242,0.0132,0.0664,2.555,0.006,0.0446,27.4
03:23.6,5.0254,0.0133,0.0666,2.961,0.014,,,5.0241,0.0132,0.0664,0.221,0.006,,
03:23.7,5.0253,0.0133,0.0667,3.061,0.013,,,5.0242,0.0132,0.0665,3.037,0.031,,
03:23.8,5.0254,0.0132,0.0665,3.048,0.018,,,5.0242,0.0132,0.0664,3.056,0.003,,
03:23.9,5.0254,0.0132,0.0665,3.022,0.002,,,5.0241,0.0132,0.0665,2.511,0.005,,
03:23.0,5.0254,0.0133,0.0668,3.055,0.084,,,5.0242,0.0132,0.0664,3.035,0.008,,
03:24.1,5.0254,0.0133,0.0668,3.093,0.007,0.0265,27.7,5.0242,0.0132,0.0664,0.689,0.004,,
