created,d1,d2,d3,d4,d5,d6,d7,d8,cmnt
8/3/2022, 6:54:54 PM.950,0.256,630.1463414634145,159.02439024390242,63.01,,,,
8/3/2022, 6:55:05 PM.112,0.252,619.829268292683,155.60975609756096,61.99,,,,
8/3/2022, 6:55:15 PM.355,0.256,634.2439024390243,162.43902439024387,63.42,,,,
8/3/2022, 6:55:25 PM.514,0.008,0.09756097560975609,0,0,,,,
8/3/2022, 6:55:35 PM.669,0.348,868.9268292682925,302.4390243902439,86.9,,,,
8/3/2022, 6:55:45 PM.829,0.348,869.6097560975609,307.31707317073165,86.98,,,,
8/3/2022, 6:55:55 PM.993,0.356,881.5121951219511,313.17073170731703,88.16,,,,
8/3/2022, 6:56:06 PM.309,0.356,882.9268292682925,318.04878048780483,88.3,,,,
8/3/2022, 6:56:16 PM.469,0.356,877.2195121951219,316.0975609756097,87.72,,,,
8/3/2022, 6:56:26 PM.628,0.356,873.3170731707316,310.24390243902434,87.33,,,,
8/3/2022, 6:56:36 PM.791,0.356,871.7073170731707,310.24390243902434,87.2,,,,
8/3/2022, 6:56:47 PM.32,0.352,867.7073170731707,308.29268292682923,86.78,,,,
8/3/2022, 6:56:57 PM.189,0.352,864.8292682926829,303.4146341463414,86.49,,,,
8/3/2022, 6:57:07 PM.353,0.352,860.4390243902437,302.4390243902439,86.06,,,,
8/3/2022, 6:57:17 PM.497,0.332,813.3170731707316,270.24390243902434,81.34,,,,
8/3/2022, 6:57:27 PM.637,0.324,804.5365853658536,263.4146341463414,80.46000000000001,,,,
8/3/2022, 6:57:37 PM.802,0.328,800.2439024390243,258.5365853658536,80.04,,,,
8/3/2022, 6:57:47 PM.989,0.328,803.2195121951219,263.4146341463414,80.35000000000001,,,,
8/3/2022, 6:57:58 PM.149,0.324,803.3170731707316,263.4146341463414,80.4,,,,
8/3/2022, 6:58:08 PM.311,0.008,-0.09756097560975609,0,-0.01,,,,
